"x","y","canopy_height","mean_annual_precipitation","percentage_tree_cover","globcover_numeric","globcover_label","intact_forest","forest_zone","total_burnt_area","mean_burnt_area","height_cat","firesize"
-122.75,44.25,15.0666666666667,1631.33333333333,80.8883361816406,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,2.09311702847481,0.149508359176772,"small","small_no_fire"
-122.75,44.75,4.41,1554.44444444444,50.2611122131348,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,14.3437803536654,1.02455573954753,"small","small_no_fire"
-122.75,46.25,20.7666666666667,1696.11111111111,81.7772216796875,100,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)","Non-Intact Forest",TRUE,0.375145763158798,0.0267961259399142,"small","small_no_fire"
-122.25,44.25,29.15,1886.66666666667,97.2283325195312,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,1.60776747763157,0.114840534116541,"medium","small_no_fire"
-122.25,46.75,33.7,1841.66666666667,85.9400024414062,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,0.053592249751091,0.00382801783936364,"tall","small_no_fire"
-122.25,49.25,22.9571428571429,1596.33333333333,70.5936126708984,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,1.09864112734795,0.078474366239139,"small","small_no_fire"
-121.75,44.75,21.5,1602,74.7755584716797,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,294.49576818198,21.0354120129985,"small","big_fire"
-121.75,45.25,32.55,1938.44444444444,92.1752777099609,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,6.68306466937065,0.477361762097904,"tall","small_no_fire"
-121.75,45.75,38.3,1850.66666666667,89.9338912963867,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,1.10151754319668,0.0786798245140484,"tall","small_no_fire"
-121.75,47.75,31.675,1910.77777777778,87.8161087036133,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,0.357281669974327,0.0255201192838805,"tall","small_no_fire"
-121.75,48.25,27.925,1942.22222222222,90.1377792358398,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,1.31301012635231,0.0937864375965936,"medium","small_no_fire"
-121.75,48.75,26.2,1675.66666666667,70.6741638183594,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Intact Forest",TRUE,1.36660236865282,0.0976144549037729,"medium","small_no_fire"
-121.25,46.75,15.3,1727,56.926944732666,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Intact Forest",TRUE,10.0398089215159,0.71712920867971,"small","small_no_fire"
-121.25,47.25,19.6,1845.11111111111,74.799446105957,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,3.26912726461887,0.23350909032992,"small","small_no_fire"
-121.25,47.75,35.9,1998.22222222222,71.4027786254883,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,1.70392619818449,0.121709014156035,"tall","small_no_fire"
-121.25,48.25,34.1,1712.11111111111,65.4191665649414,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,2.67585153877735,0.191132252769811,"tall","small_no_fire"
-105.25,21.75,4.990625,1556.77777777778,37.9288902282715,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,29.9591748863459,2.13994106331042,"small","big_fire"
-99.25,21.75,8.6,1500.33333333333,73.7786102294922,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,46.245275169611,3.3032339406865,"small","big_fire"
-98.75,16.75,11.1076923076923,1556.44444444444,69.304443359375,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,32.0512415021658,2.28937439301184,"small","big_fire"
-98.75,17.25,17.525,1667.11111111111,78.9733352661133,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,20.5679918080568,1.46914227200406,"small","big_fire"
-98.75,21.25,17.4,1787.55555555556,65.2933349609375,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,1.12543725967407,0.0803883756910052,"small","small_no_fire"
-98.25,16.75,9.62142857142857,1683.11111111111,73.7458343505859,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,43.5383202955127,3.10988002110805,"small","big_fire"
-98.25,20.75,7.975,1688.22222222222,64.1166687011719,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,3.68086118623614,0.262918656159725,"small","small_no_fire"
-97.75,16.25,18.8,1570.55555555556,65.2233352661133,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,36.5025628060102,2.60732591471502,"small","big_fire"
-97.75,16.75,25.9,1588.22222222222,81.7919464111328,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,50.4025282263756,3.60018058759826,"medium","big_fire"
-97.25,19.75,6.87727272727273,1548.66666666667,47.8577766418457,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,12.4613677188754,0.890097694205386,"small","small_no_fire"
-96.75,17.75,11.2,1519.66666666667,68.5419464111328,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,37.49251280725,2.67803662908929,"small","big_fire"
-96.25,17.25,7.3625,1660.11111111111,74.4855575561523,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,8.26162005215883,0.590115718011345,"small","small_no_fire"
-95.75,18.25,12.34,1527,59.2569427490234,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,59.8347748294473,4.27391248781766,"small","big_fire"
-95.75,18.75,9.32222222222222,1627.85714285714,42.6222229003906,170,"Closed (>40%) broadleaved forest or shrubland permanently flooded - Saline or brackish water","Non-Intact Forest",TRUE,26.0346095561981,1.85961496829987,"small","big_fire"
-95.25,18.25,11.25,1693.66666666667,52.5841674804688,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,22.0810061246157,1.57721472318683,"small","big_fire"
-93.25,18.25,13.7441176470588,1898.22222222222,54.7205543518066,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,28.3688547834754,2.02634677024824,"small","big_fire"
-92.75,18.25,11.8346153846154,1867.11111111111,59.1458320617676,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,129.252087987959,9.23229199913996,"small","big_fire"
-92.75,30.25,9.23,1505.11111111111,27.5980548858643,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,21.6056214943528,1.54325867816806,"small","big_fire"
-92.75,30.75,23.4666666666667,1549.11111111111,73.6338882446289,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,16.624536216259,1.18746687258993,"small","small_no_fire"
-92.25,15.75,18,1518.33333333333,67.9872207641602,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,64.2576617151499,4.58983297965356,"small","big_fire"
-92.25,16.75,12.3,1632.77777777778,82.8713912963867,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,22.9563936814666,1.63974240581904,"small","big_fire"
-92.25,18.25,10.565,1801.33333333333,66.224723815918,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,227.349085606635,16.2392204004739,"small","big_fire"
-92.25,29.75,4.92777777777778,1530.22222222222,26.8030548095703,170,"Closed (>40%) broadleaved forest or shrubland permanently flooded - Saline or brackish water","Non-Intact Forest",TRUE,99.5351611301303,7.10965436643788,"small","big_fire"
-92.25,30.75,18.7888888888889,1531,37.2922210693359,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,38.702293895185,2.76444956394179,"small","big_fire"
-91.75,14.25,8.25714285714286,1667,36.8122215270996,140,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)","Non-Intact Forest",TRUE,105.153327062726,7.51095193305186,"small","big_fire"
-91.75,15.75,25,1632.77777777778,64.5124969482422,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,50.2780035510659,3.59128596793328,"medium","big_fire"
-91.75,18.25,12.0231707317073,1655.11111111111,58.9880561828613,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,150.208771660924,10.7291979757803,"small","big_fire"
-91.75,30.25,14.475,1506.44444444444,58.6572227478027,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,34.9099988788366,2.49357134848833,"small","big_fire"
-91.75,30.75,25.69375,1523.11111111111,49.4686126708984,50,"Closed (>40%) broadleaved deciduous forest (>5m)","Non-Intact Forest",TRUE,62.8349989652634,4.48821421180453,"medium","big_fire"
-91.75,31.25,22.8,1511.44444444444,47.280834197998,70,"Closed (>40%) needleleaved evergreen forest (>5m)","Non-Intact Forest",TRUE,47.8521320074797,3.41800942910569,"small","big_fire"
-91.25,14.75,18.6071428571429,1825.77777777778,68.9127807617188,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,18.1449217796326,1.29606584140233,"small","big_fire"
-91.25,17.75,12.6863636363636,1836.88888888889,63.9425010681152,40,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)","Non-Intact Forest",TRUE,43.6446580886841,3.11747557776315,"small","big_fire"
-91.25,18.25,10.4833333333333,1647.33333333333,68.9349975585938,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,73.3704768568277,5.24074834691627,"small","big_fire"
-91.25,29.75,6.36666666666667,1597,69.8591690063477,110,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)","Non-Intact Forest",TRUE,36.4077690169215,2.60055492978011,"small","big_fire"
